Timestamp,,Sensor_Values1,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,Sensor_Values2,,,,
,,1.84708,9.9918,9.9918,0.32452,9.9918
,,9.9918,9.9918,9.9918,1.98128,9.9918
,,9.9918,9.9918,9.9918,9.9918,9.9918
,,0.73688,9.9918,9.9918,0.65636,9.9918
,,9.9918,9.9918,9.9918,9.9918,9.9918
,,0.5002,9.9918,9.9918,1.37372,9.9918
,,9.9918,9.9918,9.9918,0.71736,9.9918
,,9.9918,9.9918,9.9918,9.9918,9.9918
,,1.17852,9.9918,9.9918,0.29036,9.9918
,,9.9918,9.9918,9.9918,1.55916,9.9918
,,9.9918,9.9918,9.9918,9.9918,9.9918
,,2.84992,9.9918,9.9918,0.4026,9.9918
,,9.9918,9.9918,9.9918,9.9918,9.9918
,,9.9918,9.9918,9.9918,5.81696,9.9918
,,2.86212,9.9918,9.9918,0.39772,9.9918
,,9.9918,9.9918,9.9918,9.9918,9.9918
,,0.50508,9.9918,9.9918,0.50752,9.9918
,,9.9918,9.9918,9.9918,0.68076,9.9918
,,9.9918,9.9918,9.9918,9.9918,9.9918
,,9.9918,9.9918,9.9918,1.16632,9.9918
,,9.9918,9.9918,9.9918,1.76656,9.9918
,,9.9918,9.9918,9.9918,9.9918,9.9918
,,9.26468,9.9918,9.9918,0.42944,9.9918
