Timestamp,,Sensor_Values1,,,,
54:29.5,,9.9918,9.9918,9.9918,9.9918,9.9918
54:30.6,,6.54896,0.30012,1.18828,0.26108,1.06872
54:31.6,,3.54288,1.99592,1.2322,3.1354,9.9918
54:32.6,,9.9918,9.9918,9.9918,9.9918,9.9918
54:33.6,,6.61484,0.27572,2.09352,0.20984,0.89304
54:34.6,,3.61852,7.7836,1.31516,9.9918,9.9918
54:35.6,,9.9918,9.9918,9.9918,9.9918,9.9918
54:37.1,,3.0012,0.99308,1.27368,0.88816,5.44852
54:37.6,,3.61364,3.35012,4.15044,2.49612,9.9918
54:38.6,,9.9918,9.9918,9.9918,9.9918,9.9918
54:39.6,,2.91092,0.80276,1.21268,0.87352,3.355
54:40.6,,9.9918,9.9918,9.9918,9.9918,9.9918
54:41.6,,9.9918,0.78812,9.9918,0.46604,0.58804
54:42.6,,3.46236,2.24236,1.03212,4.6726,9.9918
54:43.6,,9.9918,9.9918,9.9918,9.9918,9.9918
54:44.6,,9.68192,0.20496,2.56932,0.2074,0.50752
54:45.6,,3.6478,3.95524,0.89792,9.9918,9.9918
54:46.6,,9.9918,9.9918,9.9918,9.9918,9.9918
54:47.6,,3.16712,0.67832,0.47092,0.65148,2.5376
54:48.6,,9.9918,9.9918,9.9918,9.9918,9.9918
54:49.6,,9.9918,0.30988,1.51524,0.27572,0.73688
54:50.6,,2.92068,1.03944,1.28832,1.16144,4.36516
54:51.6,,9.9918,9.9918,9.9918,9.9918,9.9918
54:52.6,,5.75108,0.50752,1.60064,0.35868,0.8296
54:53.6,,3.0622,0.74176,0.68076,1.05408,4.819
54:54.6,,9.9918,9.9918,9.9918,9.9918,9.9918
54:55.6,,2.93044,1.14924,0.93696,0.97844,5.6974
54:56.6,,9.9918,9.9918,9.9918,9.9918,9.9918
54:57.6,,9.9918,0.23424,9.9918,0.12444,0.45628
54:58.6,,3.25008,1.68604,1.67628,2.32044,9.9918
54:59.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:00.6,,3.2086,0.38308,0.78812,0.427,1.42252
55:01.6,,3.78688,9.9918,9.9918,9.9918,9.9918
55:02.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:03.6,,3.1232,1.13216,0.89304,1.51036,8.53268
55:04.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:05.6,,9.9918,0.23424,3.63804,0.183,0.62952
55:06.6,,3.43308,5.307,1.78852,9.9918,9.9918
55:07.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:08.6,,2.96704,1.0248,1.67628,1.09312,6.19028
55:09.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:10.6,,9.9918,1.89588,9.9918,2.77184,5.5144
55:11.6,,2.9646,1.17608,1.13948,1.0858,6.49772
55:12.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:13.6,,3.33548,0.5002,1.64456,0.43188,1.23464
55:14.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:15.6,,9.9918,9.9918,9.9918,3.5258,1.84464
55:16.6,,2.81332,0.72468,1.5128,0.7198,2.9646
55:17.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:18.6,,9.9918,9.9918,9.9918,2.73524,1.53964
55:19.6,,3.01828,1.02236,1.0126,1.17364,6.95888
55:20.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:21.6,,2.73036,0.97112,1.58844,0.8418,2.22284
55:22.6,,3.5136,9.9918,1.62748,9.9918,9.9918
55:23.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:24.6,,2.75476,0.62708,1.15656,0.78812,2.48148
55:25.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:26.6,,4.63844,0.9394,9.9918,0.81984,1.52012
55:27.6,,3.26716,3.68684,5.85844,2.78892,6.1732
55:28.6,,9.9918,0.6588,9.9918,0.73688,1.2688
55:29.6,,2.75964,0.91744,1.16876,1.01504,3.36232
55:30.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:31.6,,9.9918,0.2806,5.13132,0.25864,0.58804
55:32.6,,3.04756,1.6226,1.14192,2.62544,7.67136
55:33.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:34.6,,4.32612,0.35136,1.02724,0.34648,0.85644
55:35.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:36.6,,9.9918,0.29036,9.9918,0.16348,0.45628
55:37.6,,3.50384,5.34604,1.7934,9.9918,9.9918
55:38.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:39.7,,2.85724,0.66368,0.81984,0.62464,4.3676
55:40.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:41.6,,9.9918,9.9918,9.9918,9.9918,6.02436
55:42.6,,3.35256,1.69824,2.44976,0.83448,9.9918
55:43.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:44.6,,2.76452,0.66856,1.38836,0.671,2.90604
55:45.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:46.6,,9.9918,0.19764,9.9918,0.20252,0.29524
55:47.6,,3.47456,1.59332,1.28344,1.6104,9.9918
55:48.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:49.6,,2.94508,0.93452,0.96868,0.90036,5.53636
55:50.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:51.6,,9.9918,0.11224,2.22284,0.28792,0.31232
55:52.6,,3.44284,1.55428,0.91988,6.15612,9.9918
55:53.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:54.6,,2.79624,0.68564,1.18828,0.5856,2.84748
55:55.6,,3.82592,9.9918,1.64456,9.9918,9.9918
55:56.6,,9.9918,9.9918,9.9918,9.9918,9.9918
55:57.6,,2.85724,0.96624,1.11996,0.77592,5.03372
55:58.6,,3.51848,5.76572,1.69092,9.9918,9.9918
55:59.6,,9.9918,9.9918,9.9918,9.9918,6.73928
56:00.6,,2.9158,1.1956,1.56404,1.02968,6.10732
56:01.6,,9.9918,9.9918,9.9918,9.9918,9.9918
56:02.6,,2.81332,0.88328,1.10776,0.78812,4.36028
56:03.6,,3.7454,9.9918,9.9918,9.9918,9.9918
56:04.6,,9.9918,9.9918,9.9918,9.9918,9.9918
56:05.6,,2.91092,0.58804,0.94428,0.48312,1.98128
56:06.6,,3.85032,9.9918,9.9918,9.9918,9.9918
56:07.7,,9.9918,9.9918,9.9918,9.9918,9.9918
56:08.6,,3.12564,0.42944,0.93696,0.45628,1.16876
56:09.6,,3.51116,9.9918,1.0248,9.9918,9.9918
56:10.7,,9.9918,9.9918,9.9918,9.9918,9.9918
56:11.6,,5.41436,0.36844,1.22244,0.28548,1.01992
56:12.7,,3.44284,9.9918,1.72508,9.9918,9.9918
56:13.7,,9.9918,9.9918,9.9918,9.9918,9.9918
