Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
2024-02-12 11:40:44.190,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.478199999999999, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-12 11:40:45.209,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.21024, 2.25944, 6.161, 0.27327999999999997]"
2024-02-12 11:40:46.198,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4.6726, 2.6669199999999997, 3.33304, 2.9158, 5.89504]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-12 11:40:47.216,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.96136, 0.82472, 4.17728, 1.01016]"
2024-02-12 11:40:48.206,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4.26756, 2.7572, 2.5986, 3.7087999999999997, 7.86168]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-12 11:40:49.196,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.00284, 2.91336, 4.84828, 0.5514399999999999]"
2024-02-12 11:40:50.215,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4.3895599999999995, 2.3058, 2.56688, 2.75476, 4.60916]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-12 11:40:51.203,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.8662, 9.9918, 5.450959999999999, 0.36356]"
2024-02-12 11:40:52.209,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4.56768, 2.88652, 2.95972, 3.7087999999999997, 6.527]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-12 11:40:53.229,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.02968, 1.4396, 3.7429599999999996, 0.9101199999999999]"
