Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,,,Sensor1-R,Sensor2-R,Sensor3-R,Sensor4-R,Sensor5-R
18:34.4,0.22204,2.98412,0.43432,3.71124,9.9918,,,9.9918,0.30744,9.9918,2.06668,0.53436
18:35.4,9.9918,0.95404,1.00772,1.21024,2.04716,,,9.9918,1.44204,3.10124,0.56852,9.9918
18:36.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
18:37.4,0.38308,1.43472,0.32452,3.01584,9.9918,,,9.9918,0.20984,9.9918,1.0004,6.8198
18:38.3,9.9918,3.07928,9.9918,3.6722,9.9918,,,9.9918,9.9918,9.9918,0.98332,9.9918
18:39.4,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
18:40.4,1.1834,0.68076,0.2806,2.15208,9.9918,,,9.9918,0.2196,2.55468,0.75396,9.9918
18:41.4,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
18:42.4,0.27328,9.9918,0.89792,9.9918,9.9918,,,9.9918,0.57584,9.9918,2.19112,0.54412
18:43.4,1.65188,0.81984,0.44408,0.81984,1.59088,,,9.9918,0.71736,9.9918,1.03944,9.9918
18:44.4,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
18:45.4,0.11712,2.6718,0.39284,4.62136,9.9918,,,9.9918,0.25376,9.9918,0.671,9.9918
18:46.4,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
18:47.4,0.33672,5.89992,0.85644,9.9918,9.9918,,,9.9918,0.61976,9.9918,1.80804,1.098
18:48.4,4.44812,0.76372,0.52948,0.71248,1.57868,,,0.50996,2.31556,1.97884,0.5246,9.9918
18:49.4,9.9918,9.9918,9.9918,9.9918,9.9918,,,9.9918,9.9918,9.9918,9.9918,9.9918
