Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
2024-01-29 12:21:13.433,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-01-29 12:21:14.411,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.95932, 0.50508, 0.31232, 0.5856, 2.41072]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.14152, 9.9918, 1.21024, 0.32452]"
2024-01-29 12:21:15.417,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 2.88164, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-01-29 12:21:16.419,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.32696, 0.32452, 0.69784, 6.97596]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.11712, 9.9918, 1.01748, 0.8784]"
2024-01-29 12:21:17.416,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.46115999999999996, 1.0931199999999999, 0.41236, 1.71532, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.3615199999999998, 9.9918, 9.9918, 9.9918]"
2024-01-29 12:21:18.443,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.98088, 9.9918, 1.0004, 9.9918]"
2024-01-29 12:21:19.419,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.6734399999999999, 0.61732, 0.20007999999999998, 1.5737999999999999, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.08052, 9.9918, 2.84992, 0.49288]"
2024-01-29 12:21:20.423,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-01-29 12:21:21.445,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.27815999999999996, 0.75884, 0.28792, 1.48596, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.1098, 9.9918, 1.0906799999999999, 0.6758799999999999]"
2024-01-29 12:21:22.423,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
