Timestamp,,Sensor_Values1,,,,
10:50.7,,0,7.92268,0,5.0752,0
10:51.7,,6.42208,0,9.79904,0,0
10:52.7,,0,0,0,0,0
10:53.7,,6.61728,8.93772,9.92104,7.54936,0
10:54.7,,0,0,0,0,0
10:55.7,,6.51968,8.57172,9.90884,6.99792,0
10:56.7,,0,0,0,0,0
10:57.7,,6.67096,0,9.75512,0,0
10:58.7,,0,0,0,0,0
10:59.7,,6.50016,9.46232,9.95032,9.29396,0
11:00.7,,0,0,0,0,0
11:01.7,,6.62948,9.3818,9.96008,9.15488,0
11:02.7,,0,0,0,0,0
11:03.7,,6.39524,9.59896,9.9918,9.17928,0
11:04.7,,0,0,0,0,0
11:05.7,,6.65632,0,9.98936,0,0
11:06.7,,0,0,0,0,0
11:07.7,,6.67828,9.4062,9.97472,8.82792,0
11:08.7,,0,0,0,0,0
11:09.7,,6.65876,9.27688,9.9918,8.37652,0
11:10.7,,0,0,0,0,0
11:11.7,,6.6612,9.43792,9.97716,8.81084,0
11:12.7,,0,0,0,0,0
11:13.7,,6.54896,9.52332,9.9918,8.78888,0
11:14.7,,0,0,0,0,0
11:15.7,,6.29764,9.67948,9.97228,9.34276,1.9886
11:16.7,,0,0,7.26632,0,0
11:17.8,,6.32204,9.26468,9.92104,8.31064,0
11:18.7,,0,8.19108,9.65264,8.6986,0
11:19.7,,0,9.638,9.31104,8.99384,8.12032
11:20.7,,6.57092,7.17848,9.83076,0,0
11:21.7,,0,6.91984,0,8.4302,0
11:22.7,,6.65632,7.20776,9.80148,0,0
11:23.7,,0,9.07436,7.14432,8.19352,0
11:24.7,,6.82224,8.33016,9.9186,0,0
11:25.7,,0,0,0,0,0
11:26.7,,6.75148,9.32812,9.95276,9.1012,0
11:27.7,,0,0,0,0,0
,,,,,,
,,Sensor_Values2,,,,
,,0,7.11992,3.98452,7.68844,8.19352
,,0,0,0,0,0
,,5.82916,7.98368,7.32976,8.31308,0
,,0,0,0,0,0
,,6.5148,7.82752,3.69172,5.12644,8.76692
,,0,0,0,0,0
,,0,7.64208,0,4.95808,8.52292
,,0,0,0,0,0
,,0,7.72016,5.92432,5.40704,8.43264
,,0,0,0,0,0
,,0,7.65916,7.42736,5.368,0
,,0,0,0,0,0
,,7.21996,7.18092,6.71244,4.9532,0
,,0,0,0,0,0
,,7.20776,7.63476,7.80312,4.87756,0
,,0,0,0,0,0
,,7.7836,7.61524,7.30536,4.331,0
,,0,0,0,0,0
,,5.27284,7.68844,7.07844,4.79216,0
,,0,0,0,0,0
,,7.4664,7.34684,6.98328,7.8446,0
,,0,0,0,0,0
,,7.8324,7.29804,6.60752,4.7824,0
,,0,0,0,0,0
,,8.48144,7.0394,6.40256,4.17484,7.78848
,,0,0,0,0,7.33464
,,7.33952,1.62504,0.93208,0,2.16916
,,0,6.93204,4.95564,7.72992,8.4424
,,0,6.59044,6.64168,6.161,0
,,0,8.22768,0,8.70348,0
,,0,0,0,0,0
,,6.53188,7.85192,1.46644,8.27648,8.784
,,0,0,0,0,0
,,4.79948,8.03248,6.00972,8.68152,0
,,0,0,0,0,0
,,7.14432,8.07152,6.97108,8.54488,0
,,0,0,0,0,0
,,7.92268,7.45176,6.6978,7.79092,0
