Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
2024-03-04 11:51:17.719,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[8.579039999999999, 9.41352, 9.36228, 9.48428, 8.57416]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 3.1475999999999997, 4.76288, 0.0]"
2024-03-04 11:51:18.761,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.20368, 9.4672, 9.7112, 9.61116, 8.932839999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 6.348879999999999, 0.0, 4.3480799999999995, 0.0]"
2024-03-04 11:51:19.729,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 5.95604, 0.0]"
2024-03-04 11:51:20.737,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[8.45704, 9.13048, 9.59652, 9.17196, 6.361079999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-03-04 11:51:21.741,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 6.91252, 0.0, 5.3582399999999994, 0.0]"
2024-03-04 11:51:22.744,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[8.30088, 8.854759999999999, 9.8332, 8.34968, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-03-04 11:51:23.749,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 8.1252, 0.0, 9.09876, 9.42816]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 7.315119999999999, 0.0, 5.19232, 0.0]"
2024-03-04 11:51:24.731,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[8.815719999999999, 9.39888, 9.84052, 9.35008, 5.98776]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-03-04 11:51:25.746,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 7.2053199999999995, 0.0, 8.20572, 0.0]"
2024-03-04 11:51:26.729,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.06948, 9.6746, 9.89908, 9.47696, 8.679079999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-03-04 11:51:27.756,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 6.86372, 4.83608, 3.93084, 0.0]"
2024-03-04 11:51:28.740,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.06216, 9.68924, 9.88932, 9.6014, 8.844999999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-03-04 11:51:29.736,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 7.58352, 0.0, 5.15572, 0.0]"
2024-03-04 11:51:30.746,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.12316, 9.64044, 9.89176, 9.48672, 8.43996]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-03-04 11:51:31.744,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 6.04876, 3.76248, 3.77712, 0.0]"
2024-03-04 11:51:32.746,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.16708, 9.577, 9.87712, 9.4062, 8.35944]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 7.50788, 0.0]"
2024-03-04 11:51:33.743,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 7.62744, 0.0, 8.24232, 0.0]"
2024-03-04 11:51:34.750,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.14756, 9.60872, 9.77952, 9.55748, 8.976759999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-03-04 11:51:35.748,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 7.334639999999999, 0.0, 8.09104, 0.0]"
2024-03-04 11:51:36.753,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.17928, 9.64044, 9.83564, 9.57456, 9.2232]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 8.10568, 0.0]"
2024-03-04 11:51:37.758,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 4.20656, 2.84504, 0.23179999999999998, 0.0]"
2024-03-04 11:51:38.766,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.18172, 9.67948, 9.88688, 9.55504, 8.891359999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 7.59572, 0.0]"
2024-03-04 11:51:39.741,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 6.356199999999999, 4.421279999999999, 2.53028, 0.0]"
2024-03-04 11:51:40.757,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.26468, 9.6014, 9.87712, 9.51844, 9.0768]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 7.6372, 0.0]"
2024-03-04 11:51:41.783,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 6.63924, 4.04064, 2.7425599999999997, 0.0]"
2024-03-04 11:51:42.764,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.17196, 9.75756, 9.87712, 9.67216, 9.07924]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 7.76408, 0.0]"
