Sensor_Labels,Sensor_Values
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 72, 93, 144, 2526]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[135, 317, 162, 582, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1008, 117, 118, 176, 4081]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1264, 4095, 467, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[19, 4095, 130, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[683, 405, 214, 662, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 101, 94, 258, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[151, 422, 171, 816, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[583, 134, 80, 278, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 210, 4095, 179, 1382]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[143, 175, 113, 276, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 105, 77, 323, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[31, 461, 153, 688, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 849, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 1901, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[167, 172, 109, 370, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 16, 730, 145, 848]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[298, 164, 137, 314, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[211, 169, 48, 1073, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[231, 1810, 197, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[382, 96, 65, 236, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 636, 350, 1113, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[212, 144, 80, 382, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[444, 81, 79, 166, 2857]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 48, 48, 155, 3363]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 466, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[569, 112, 93, 268, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 302, 203, 1123, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[228, 144, 126, 294, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 2155, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[474, 118, 97, 257, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 61, 1667, 139, 1072]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[330, 279, 110, 1264, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[486, 113, 101, 206, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 736, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[80, 197, 134, 349, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 177, 4095, 103, 799]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 77, 44, 252, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 43, 99, 102, 832]"
