Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
2024-02-22 13:29:54.219,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.05728, 0.0, 8.696159999999999, 7.99344]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.80844, 9.9918, 4.95808, 1.01504]"
2024-02-22 13:29:55.207,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.2923599999999995, 8.593679999999999, 9.48428, 3.06708, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:29:56.202,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.70632, 8.781559999999999, 9.47696, 9.2354]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.1207599999999998, 9.9918, 5.53636, 1.3688399999999998]"
2024-02-22 13:29:57.212,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.2557599999999995, 0.0, 8.56684, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:29:58.197,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.66484, 8.964559999999999, 9.5648, 9.577]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 4.9898]"
2024-02-22 13:29:59.231,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:00.226,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.2703999999999995, 9.72584, 9.5892, 9.394, 8.55952]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:01.213,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 7.488359999999999, 8.813279999999999, 9.9918, 7.11992]"
2024-02-22 13:30:02.211,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.01704, 9.6746, 9.65996, 9.30372, 8.19596]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:03.214,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4.72384, 2.98168, 3.4648, 5.11912, 1.92516]"
