Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
52:19.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 7.59816]"
52:20.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[3.1646799999999997, 0.24156, 0.21228, 0.43432, 0.73444]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.6006399999999998, 0.31232, 1.3151599999999999, 9.9918, 9.9918]"
52:21.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.94428, 9.9918, 9.9918, 0.45627999999999996]"
52:22.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.4758, 1.45424, 1.04188, 1.29076]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.41764, 9.9918, 0.71492, 9.9918, 9.9918]"
52:23.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.9320799999999999, 9.9918, 9.9918, 1.18828]"
52:24.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.4392, 0.6709999999999999, 0.60024, 0.72468]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.1077599999999999, 0.6636799999999999, 0.65392, 9.9918, 9.9918]"
52:25.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 0.38064]"
52:26.9,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2.2130799999999997, 0.31964, 0.33915999999999996, 0.36112, 0.38308]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.39771999999999996, 0.26108, 1.76412, 9.9918, 1.8104799999999999]"
52:27.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:28.9,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.3346799999999999, 0.35136, 0.28059999999999996, 0.46848, 0.82228]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.74908, 0.37576, 0.96136, 9.9918, 2.35948]"
52:29.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:30.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.3663999999999998, 0.40992, 0.34648, 0.46848, 0.8100799999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.0126, 0.19519999999999998, 2.46928, 9.9918, 9.9918]"
52:31.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:32.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2.29848, 0.5978, 0.50752, 0.97844, 3.86496]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.82716, 0.19276, 2.40584, 9.9918, 0.7832399999999999]"
52:33.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:34.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.3663999999999998, 0.37576, 0.29036, 0.5587599999999999, 5.370439999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.22935999999999998, 9.9918, 9.9918, 0.00732]"
52:35.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 3.98696]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:36.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.77388, 8.959679999999999, 1.3444399999999999, 9.07436, 8.888919999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 0.85888]"
52:37.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.57828, 0.8979199999999999, 0.71004, 0.8003199999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.22691999999999998, 0.42944, 1.05408, 9.9918, 1.3127199999999999]"
52:38.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:39.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2.6547199999999997, 0.50996, 0.5856, 0.7929999999999999, 1.19804]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.976, 0.28059999999999996, 1.5884399999999999, 9.9918, 0.56364]"
52:40.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:41.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.9276, 0.5465599999999999, 0.50996, 0.9516, 3.2256799999999997]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.403, 0.20007999999999998, 2.10084, 9.9918, 9.9918]"
52:42.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:43.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2.2399199999999997, 0.6661199999999999, 0.61, 0.9247599999999999, 1.66652]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.24684, 0.27327999999999997, 1.6006399999999998, 9.9918, 0.35136]"
52:44.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:45.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.99104, 0.87108, 0.72712, 1.04188, 1.4152]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[3.2037199999999997, 0.22447999999999999, 2.562, 9.9918, 0.16835999999999998]"
52:46.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:47.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.21512, 0.72712, 0.28304, 6.09024, 6.01948]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.27327999999999997, 9.9918, 9.9918, 0.03904]"
52:48.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.50752, 9.9918, 0.60024, 0.6636799999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.44204, 9.9918, 2.39852, 9.9918, 9.9918]"
52:49.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.52256, 7.06136, 0.6758799999999999, 7.293159999999999, 7.298039999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.35136, 5.3094399999999995, 9.9918, 0.09272]"
52:50.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.46603999999999995, 9.9918, 0.6587999999999999, 0.61732]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.84424, 9.9918, 1.0614, 9.9918, 9.9918]"
52:51.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.69336, 7.89096, 1.91052, 9.44524, 7.6738]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.46115999999999996, 9.9918, 9.9918, 0.19519999999999998]"
52:52.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.57584, 3.6990399999999997, 0.5416799999999999, 0.59048]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.72956, 4.3407599999999995, 0.32208, 9.9918, 9.9918]"
52:53.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 6.400119999999999]"
52:54.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.50508, 0.99064, 0.63928, 0.73688]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.73932, 0.43188, 0.51484, 9.9918, 9.9918]"
52:55.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:56.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2.31068, 0.5538799999999999, 0.48556, 0.9296399999999999, 3.49896]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.56608, 0.30744, 2.3424, 9.9918, 0.35136]"
52:57.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
52:58.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2.11792, 0.42456, 0.40748, 0.5465599999999999, 0.5587599999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.46848, 0.305, 1.97152, 9.9918, 0.23668]"
52:59.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
53:00.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2.05448, 0.6636799999999999, 0.5416799999999999, 0.97356, 2.35704]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.15656, 0.23424, 4.3456399999999995, 9.9918, 0.17324]"
53:01.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
53:02.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.5640399999999999, 0.72956, 0.46848, 1.04432, 7.307799999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.26108, 9.9918, 9.9918, 0.0]"
53:03.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.03944, 9.9918, 1.3297999999999999, 1.17364]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.62708, 9.9918, 9.9918, 0.0]"
53:04.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[3.9284, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
53:05.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[3.05976, 0.27327999999999997, 0.42944, 0.74176, 0.73688]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.88816, 1.12728, 9.9918, 9.9918, 9.9918]"
53:06.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
53:07.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2.2374799999999997, 0.41724, 0.42212, 0.5246, 0.72712]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.9198799999999999, 0.22935999999999998, 2.94996, 9.9918, 9.9918]"
53:08.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
53:09.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.38348, 0.72956, 0.34404, 6.98084, 6.98816]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.24156, 9.9918, 9.9918, 0.0]"
53:10.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.47132, 9.9918, 4.52132, 1.52988]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.74176, 9.9918, 0.61732, 9.9918, 9.9918]"
53:11.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 0.61976]"
53:12.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.74664, 0.7832399999999999, 0.59292, 0.6856399999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.25132, 0.32696, 1.16632, 9.9918, 4.56524]"
53:13.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
53:14.9,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.94712, 0.5856, 0.50752, 0.71004, 0.74176]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2.46684, 0.20251999999999998, 3.1109999999999998, 9.9918, 0.12932]"
53:15.9,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
53:16.9,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.95932, 0.64172, 0.5246, 0.9052399999999999, 1.42984]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.2562, 9.9918, 9.9918, 0.0]"
53:17.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.4274, 9.9918, 2.1520799999999998, 1.53476]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.71004, 9.9918, 1.29076, 9.9918, 9.9918]"
53:18.9,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2.1593999999999998, 9.9918, 1.3786, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.84668, 9.9918, 9.9918, 0.41968]"
53:19.8,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.59896, 0.63928, 0.87352, 0.7807999999999999, 0.82716]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.73688, 1.00284, 9.9918, 9.9918, 9.9918]"
53:20.9,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
