Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label
54:42.8,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
54:43.9,3.24276,9.9918,9.9918,9.9918,9.9918,8.641992,1
54:44.8,9.9918,1.27368,6.20736,1.49572,1.48596,4.090904,1
54:45.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
54:46.9,9.9918,1.3664,1.68604,1.85684,2.05448,3.391112,1
54:47.8,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
54:48.9,9.9918,1.4518,2.41316,1.63724,1.99836,3.498472,1
54:49.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
54:50.9,9.9918,1.31516,1.5372,1.52988,1.769,3.228608,1
54:51.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
54:52.9,9.9918,1.48596,2.39364,1.72508,2.02032,3.52336,1
54:53.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
54:54.9,7.49324,0.9028,1.04432,1.03456,1.15168,2.32532,1
54:55.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
54:56.9,5.31676,0.7808,0.976,0.92232,1.07116,1.813408,1
54:57.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
54:58.9,2.97436,1.01016,0.9638,1.08824,1.36884,1.48108,1
54:59.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
55:00.9,2.5986,0.66368,0.71492,0.83692,0.8052,1.123864,1
55:01.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
55:02.9,3.65512,0.83692,0.90524,1.11264,1.38104,1.578192,1
55:03.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
55:04.9,9.9918,1.42984,2.22528,1.59088,1.6714,3.38184,1
55:05.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
55:06.9,9.9918,1.39812,3.965,1.55672,1.60064,3.702456,1
55:07.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
55:08.9,3.99916,1.05408,1.12728,0.9638,1.14924,1.658712,1
55:09.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
55:10.9,9.9918,1.5372,2.35704,1.73484,1.7202,3.468216,1
55:11.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
55:12.9,9.9918,0.9516,1.098,1.20048,1.42008,2.932392,1
55:13.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
55:14.9,9.9918,0.87596,1.0248,1.05652,1.24684,2.839184,1
55:15.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
55:16.9,2.64008,1.02236,0.89792,1.38104,2.16184,1.620648,1
