Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,,,
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
166,653,1110,476,1600,,166,653,1110,476,1600,,0.40504,1.59332
17,988,713,1558,4095,,17,988,713,1558,4095,,0.04148,2.41072
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
18,1088,938,595,4095,,18,1088,938,595,4095,,0.04392,2.65472
16,559,560,1339,4095,,16,559,560,1339,4095,,0.03904,1.36396
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
23,511,375,1221,4095,,23,511,375,1221,4095,,0.05612,1.24684
160,4095,4095,4095,4095,,160,4095,4095,4095,4095,,0.3904,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
0,645,544,1061,4095,,0,645,544,1061,4095,,0,1.5738
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
3,499,384,1507,4095,,3,499,384,1507,4095,,0.00732,1.21756
52,4095,713,4095,4095,,52,4095,713,4095,4095,,0.12688,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
27,313,346,436,4095,,27,313,346,436,4095,,0.06588,0.76372
16,605,385,4095,4095,,16,605,385,4095,4095,,0.03904,1.4762
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
3303,4095,4095,4095,4095,,3303,4095,4095,4095,4095,,8.05932,9.9918
7,576,318,4095,4095,,7,576,318,4095,4095,,0.01708,1.40544
16,3770,331,4095,4095,,16,3770,331,4095,4095,,0.03904,9.1988
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
32,451,380,1142,4095,,32,451,380,1142,4095,,0.07808,1.10044
29,4095,240,4095,4095,,29,4095,240,4095,4095,,0.07076,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
9,448,325,2529,4095,,9,448,325,2529,4095,,0.02196,1.09312
61,4095,560,4095,4095,,61,4095,560,4095,4095,,0.14884,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
334,534,795,1680,4095,,334,534,795,1680,4095,,0.81496,1.30296
16,395,432,759,3749,,16,395,432,759,3749,,0.03904,0.9638
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
176,272,475,324,1627,,176,272,475,324,1627,,0.42944,0.66368
16,683,546,3378,4095,,16,683,546,3378,4095,,0.03904,1.66652
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,891,4095,778,2225,,4095,891,4095,778,2225,,9.9918,2.17404
28,395,470,531,2689,,28,395,470,531,2689,,0.06832,0.9638
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
0,950,626,2224,4095,,0,950,626,2224,4095,,0,2.318
0,339,407,683,2910,,0,339,407,683,2910,,0,0.82716
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
18,298,375,482,4095,,18,298,375,482,4095,,0.04392,0.72712
5,4095,718,4095,4095,,5,4095,718,4095,4095,,0.0122,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
242,258,627,239,1535,,242,258,627,239,1535,,0.59048,0.62952
0,854,549,4095,4095,,0,854,549,4095,4095,,0,2.08376
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
0,614,592,965,4095,,0,614,592,965,4095,,0,1.49816
10,511,529,837,4095,,10,511,529,837,4095,,0.0244,1.24684
4095,4095,4095,4095,4095,,4095,4095,4095,4095,4095,,9.9918,9.9918
67,527,802,480,1866,,67,527,802,480,1866,,0.16348,1.28588
