Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,,Sensor1-R,Sensor2-R,Sensor3-R,Sensor4-R,Sensor5-R
15:19.3,0.0244,1.44448,0.96136,3.1964,9.9918,,9.9918,1.91296,9.9918,1.9154,0.5856
15:20.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,1.71044,3.55264,1.71288,9.9918
15:21.3,0.11712,0.94672,1.01748,1.5738,3.10124,,9.9918,1.31516,9.9918,1.3176,0.2074
15:22.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:23.3,0.25132,0.88328,1.3786,1.03944,1.85684,,9.9918,0.76616,9.9918,0.7686,0.62952
15:24.3,0.3782,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:25.3,0.53436,1.83244,6.70268,1.24196,1.44448,,9.9918,0.8906,9.9918,0.88572,0.27084
15:26.3,0.8296,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:27.3,0.2196,2.22528,5.59736,1.51768,2.65716,,9.9918,1.1712,3.4526,1.1712,0.14152
15:28.3,0.08296,5.18012,2.18868,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:29.3,9.9918,2.45952,9.9918,2.96704,2.10572,,9.9918,0.86376,3.6478,0.854,0.32696
15:30.3,0.07076,1.21268,1.44448,1.53476,2.33996,,9.9918,9.9918,9.9918,9.9918,9.9918
15:31.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,1.41032,9.9918,1.41764,9.9918
15:32.3,0.04392,2.3668,2.00812,1.88612,1.7568,,9.9918,1.21512,2.1228,1.22244,0.26596
15:33.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:34.3,0.15616,1.3664,2.49612,1.36396,1.53476,,9.9918,1.14436,5.53636,1.14924,0.11712
15:35.3,0.57828,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:36.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,0.78568,1.8422,0.78324,4.53596
15:37.3,0.04148,1.403,1.10776,2.0862,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:38.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,3.27204,9.9918,3.28668,9.9918
15:39.3,0.11712,0.73932,0.8296,1.1346,9.9918,,9.9918,1.28588,9.9918,1.27368,0.18544
15:40.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:41.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,0.7564,3.44528,0.75396,0.82472
15:42.3,0.02684,1.79096,1.33224,1.89344,9.9918,,9.9918,1.769,9.9918,1.769,0.37576
15:43.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:44.3,0.0488,0.81984,0.92476,1.67872,5.10692,,9.9918,1.28832,9.9918,1.29564,0.22936
15:45.3,0.5856,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:46.3,9.9918,9.9918,9.9918,9.9918,3.5624,,9.9918,0.73688,9.9918,0.72468,0.56364
15:47.4,0.03904,1.1956,1.16632,2.09108,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
15:48.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,0.87352,2.5498,0.87352,9.9918
15:49.3,0.24644,0.6954,1.55184,0.61732,1.01016,,9.9918,1.00284,9.9918,1.0004,0.84424
15:50.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,3.51604,8.54976,3.53068,9.9918
15:51.3,0.03904,1.28344,1.46888,1.6836,4.9654,,9.9918,1.62504,9.9918,1.62748,1.04188
15:52.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,2.5376,3.03536,2.5376,9.9918
15:53.3,0.3172,0.61976,0.46116,1.57868,1.3542,,9.9918,0.88084,9.9918,0.88328,0.41724
15:54.3,9.9918,9.9918,9.9918,9.9918,9.9918,,9.9918,9.9918,9.9918,9.9918,9.9918
