Timestamp,Sensor_Labels,Sensor_Values
23:39.9,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
23:41.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
23:41.9,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.04392, 1.2078, 1.0833599999999999, 1.71532, 3.5794799999999998]"
23:43.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
23:44.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[8.14716, 9.9918, 9.9918, 9.9918, 9.9918]"
23:45.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.03172, 1.45668, 1.5835599999999999, 9.9918, 6.331799999999999]"
23:46.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
23:47.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
23:48.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.04636, 0.9052399999999999, 1.50792, 1.38104, 9.9918]"
23:49.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
23:49.9,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.41236, 0.64904, 0.8954799999999999, 1.28832, 2.7010799999999997]"
23:51.1,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.25864, 2.8182, 3.09636, 3.7258799999999996, 9.9918]"
