Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,Mean
21:13.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:14.4,1.95932,0.50508,0.31232,0.5856,2.41072,1.154608,0,,8.03248,9.48672,9.67948,9.4062,7.58108,8.837192
21:15.4,9.9918,9.9918,2.88164,9.9918,9.9918,8.569768,0,,0,0,7.11016,0,0,1.422032
21:16.4,9.9918,0.32696,0.32452,0.69784,6.97596,3.663416,0,,0,9.66484,9.66728,9.29396,3.01584,6.328384
21:17.4,0.46116,1.09312,0.41236,1.71532,9.9918,2.734752,0,,9.53064,8.89868,9.57944,8.27648,0,7.257048
21:18.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:19.4,0.67344,0.61732,0.20008,1.5738,9.9918,2.611288,0,,9.31836,9.37448,9.79172,8.418,0,7.380512
21:20.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:21.4,0.27816,0.75884,0.28792,1.48596,9.9918,2.560536,0,,9.71364,9.23296,9.70388,8.50584,0,7.431264
21:22.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:23.4,0.55388,0.74176,0.3294,0.89548,9.9918,2.502464,0,,9.43792,9.25004,9.6624,9.09632,0,7.489336
21:24.4,9.9918,9.27444,1.13948,9.9918,9.9918,8.077864,0,,0,0.71736,8.85232,0,0,1.913936
21:25.4,9.9918,0.47092,0.549,1.8422,9.9918,4.569144,0,,0,9.52088,9.4428,8.1496,0,5.422656
21:26.4,0.976,1.09312,0.45384,1.60064,9.9918,2.82308,0,,9.0158,8.89868,9.53796,8.39116,0,7.16872
21:27.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:28.4,0.1952,1.40544,0.26352,2.74012,9.9918,2.919216,0,,9.7966,8.58636,9.72828,7.25168,0,7.072584
21:29.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:30.4,9.9918,0.3782,0.22204,0.83692,3.55264,2.99632,0,,0,9.6136,9.76976,9.15488,6.43916,6.99548
21:31.5,9.9918,9.9918,1.71776,9.9918,9.9918,8.336992,0,,0,0,8.27404,0,0,1.654808
21:32.4,9.9918,0.61,0.5002,1.48352,9.9918,4.515464,0,,0,9.3818,9.4916,8.50828,0,5.476336
21:33.4,9.9918,0.89792,0.50996,1.33468,9.9918,4.545232,0,,0,9.09388,9.48184,8.65712,0,5.446568
21:34.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:35.4,0.55632,0.64172,0.41968,0.63684,3.07684,1.06628,0,,9.43548,9.35008,9.57212,9.35496,6.91496,8.92552
21:36.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:37.5,0.366,0.66124,0.3416,0.66368,8.54732,2.115968,0,,9.6258,9.33056,9.6502,9.32812,1.44448,7.875832
21:38.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:39.4,0.53192,0.6466,0.27328,0.97844,9.9918,2.484408,0,,9.45988,9.3452,9.71852,9.01336,0,7.507392
21:40.4,3.46968,0.89792,0.549,1.22244,9.9918,3.226168,0,,6.52212,9.09388,9.4428,8.76936,0,6.765632
21:41.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:42.5,0.31964,0.7076,0.29036,1.07116,9.9918,2.476112,0,,9.67216,9.2842,9.70144,8.92064,0,7.515688
21:43.4,0.56364,0.99796,0.44408,1.35176,9.9918,2.669848,0,,9.42816,8.99384,9.54772,8.64004,0,7.321952
21:44.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
21:45.5,0.183,3.39648,0.1708,9.9918,9.9918,4.746776,0,,9.8088,6.59532,9.821,0,0,5.245024
21:46.5,1.01748,1.17364,0.55388,1.82512,9.9918,2.912384,0,,8.97432,8.81816,9.43792,8.16668,0,7.079416
21:47.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
