Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,MEAN
18:34.4,0.22204,2.98412,0.43432,3.71124,9.9918,3.468704,1,,9.76976,7.00768,9.55748,6.28056,0,6.523096
18:35.4,9.9918,0.95404,1.00772,1.21024,2.04716,3.042192,1,,0,9.03776,8.98408,8.78156,7.94464,6.949608
18:36.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1,,0,0,0,0,0,0
18:37.4,0.38308,1.43472,0.32452,3.01584,9.9918,3.029992,1,,9.60872,8.55708,9.66728,6.97596,0,6.961808
18:38.3,9.9918,3.07928,9.9918,3.6722,9.9918,7.345376,1,,0,6.91252,0,6.3196,0,2.646424
18:39.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1,,0,0,0,0,0,0
18:40.4,1.1834,0.68076,0.2806,2.15208,9.9918,2.857728,1,,8.8084,9.31104,9.7112,7.83972,0,7.134072
18:41.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1,,0,0,0,0,0,0
18:42.4,0.27328,9.9918,0.89792,9.9918,9.9918,6.22932,1,,9.71852,0,9.09388,0,0,3.76248
18:43.4,1.65188,0.81984,0.44408,0.81984,1.59088,1.065304,1,,8.33992,9.17196,9.54772,9.17196,8.40092,8.926496
18:44.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1,,0,0,0,0,0,0
18:45.4,0.11712,2.6718,0.39284,4.62136,9.9918,3.558984,1,,9.87468,7.32,9.59896,5.37044,0,6.432816
18:46.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1,,0,0,0,0,0,0
18:47.4,0.33672,5.89992,0.85644,9.9918,9.9918,5.415336,1,,9.65508,4.09188,9.13536,0,0,4.576464
18:48.4,4.44812,0.76372,0.52948,0.71248,1.57868,1.606496,1,,5.54368,9.22808,9.46232,9.27932,8.41312,8.385304
18:49.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1,,0,0,0,0,0,0
18:50.4,0.10736,2.1472,0.46116,2.71328,9.9918,3.08416,1,,9.88444,7.8446,9.53064,7.27852,0,6.90764
18:51.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1,,0,0,0,0,0,0
18:52.4,0.16836,3.53068,0.50752,9.9918,9.9918,4.838032,1,,9.82344,6.46112,9.48428,0,0,5.153768
18:53.4,9.9918,0.79788,2.43268,0.9394,1.87392,3.207136,1,,0,9.19392,7.55912,9.0524,8.11788,6.784664
18:54.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1,,0,0,0,0,0,0
18:55.4,0.11712,7.27364,0.89792,1.2932,9.9918,3.914736,1,,9.87468,2.71816,9.09388,8.6986,0,6.077064
18:56.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1,,0,0,0,0,0,0
18:57.4,0.27084,3.55264,0.976,1.63724,4.80436,2.248216,1,,9.72096,6.43916,9.0158,8.35456,5.18744,7.743584
18:58.4,2.33508,0.65392,0.39528,1.0126,1.82024,1.243424,1,,7.65672,9.33788,9.59652,8.9792,8.17156,8.748376
18:59.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1,,0,0,0,0,0,0
