Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,,MIN,MAX,MEAN,,MAX MEAN,MAX MAX
15:19.3,0.0244,1.44448,0.96136,3.1964,9.9918,3.123688,3,,9.9674,8.54732,9.03044,6.7954,0,,0,9.9674,6.868112,,9.222712,9.98936
15:20.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
15:21.3,0.11712,0.94672,1.01748,1.5738,3.10124,1.351272,3,,9.87468,9.04508,8.97432,8.418,6.89056,,6.89056,9.87468,8.640528,,,
15:22.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
15:23.3,0.25132,0.88328,1.3786,1.03944,1.85684,1.081896,3,,9.74048,9.10852,8.6132,8.95236,8.13496,,8.13496,9.74048,8.909904,,,
15:24.3,0.3782,9.9918,9.9918,9.9918,9.9918,8.06908,3,,9.6136,0,0,0,0,,0,9.6136,1.92272,,,
15:25.3,0.53436,1.83244,6.70268,1.24196,1.44448,2.351184,3,,9.45744,8.15936,3.28912,8.74984,8.54732,,3.28912,9.45744,7.640616,,,
15:26.3,0.8296,9.9918,9.9918,9.9918,9.9918,8.15936,3,,9.1622,0,0,0,0,,0,9.1622,1.83244,,,
15:27.3,0.2196,2.22528,5.59736,1.51768,2.65716,2.443416,3,,9.7722,7.76652,4.39444,8.47412,7.33464,,4.39444,9.7722,7.548384,,,
15:28.3,0.08296,5.18012,2.18868,9.9918,9.9918,5.487072,3,,9.90884,4.81168,7.80312,0,0,,0,9.90884,4.504728,,,
15:29.3,9.9918,2.45952,9.9918,2.96704,2.10572,5.503176,3,,0,7.53228,0,7.02476,7.88608,,0,7.88608,4.488624,,,
15:30.3,0.07076,1.21268,1.44448,1.53476,2.33996,1.320528,3,,9.92104,8.77912,8.54732,8.45704,7.65184,,7.65184,9.92104,8.671272,,,
15:31.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
15:32.3,0.04392,2.3668,2.00812,1.88612,1.7568,1.612352,3,,9.94788,7.625,7.98368,8.10568,8.235,,7.625,9.94788,8.379448,,,
15:33.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
15:34.3,0.15616,1.3664,2.49612,1.36396,1.53476,1.38348,3,,9.83564,8.6254,7.49568,8.62784,8.45704,,7.49568,9.83564,8.60832,,,
15:35.3,0.57828,9.9918,9.9918,9.9918,9.9918,8.109096,3,,9.41352,0,0,0,0,,0,9.41352,1.882704,,,
15:36.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
15:37.3,0.04148,1.403,1.10776,2.0862,9.9918,2.926048,3,,9.95032,8.5888,8.88404,7.9056,0,,0,9.95032,7.065752,,,
15:38.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
