Timestamp,,Sensor_Values1,,,,,,Min,Max,Mean,,Max Mean Value,Max max value
54:01.5,,0,2.53516,5.06544,0,0,,0,5.06544,1.52012,,8.806448,9.8576
54:02.5,,5.94384,8.46924,9.02312,8.5034,8.55464,,5.94384,9.02312,8.098848,,,
54:03.5,,0,0,0,0,0,,0,0,0,,,
54:04.5,,5.96824,9.49892,9.60872,9.34276,9.00848,,5.96824,9.60872,8.685424,,,
54:05.5,,3.1354,8.5034,7.13944,8.4668,8.15692,,3.1354,8.5034,7.080392,,,
54:06.5,,0,8.4912,6.82468,8.55464,8.3936,,0,8.55464,6.452824,,,
54:07.5,,0,0,0,0,0,,0,0,0,,,
54:08.5,,5.50708,9.28664,9.56236,9.04752,0,,0,9.56236,6.68072,,,
54:09.5,,0,0,0,0,0,,0,0,0,,,
54:10.5,,6.1,9.22808,9.64044,9.24028,8.906,,6.1,9.64044,8.62296,,,
54:11.5,,0,0,0,0,0,,0,0,0,,,
54:12.5,,6.12196,9.23296,9.64044,9.02312,8.28624,,6.12196,9.64044,8.460944,,,
54:13.5,,0,0,0,0,0,,0,0,0,,,
54:14.5,,5.76572,9.0158,9.67216,8.67176,2.16672,,2.16672,9.67216,7.058432,,,
54:15.5,,0,0,0,0,0,,0,0,0,,,
54:16.5,,0,9.52576,9.53796,9.59652,9.6868,,0,9.6868,7.669408,,,
54:17.5,,0,0,0,0,0,,0,0,0,,,
54:18.5,,0,9.37692,9.4062,6.90764,7.96416,,0,9.4062,6.730984,,,
54:19.5,,0,0,0,0,0,,0,0,0,,,
54:20.5,,6.1488,9.09388,9.6746,9.26468,8.40336,,6.1488,9.6746,8.517064,,,
54:21.5,,0,0,0,0,0,,0,0,0,,,
54:22.5,,0,9.68192,8.99872,9.8576,9.48184,,0,9.8576,7.604016,,,
54:23.5,,0,0,0,0,0,,0,0,0,,,
54:24.5,,5.66568,8.35944,9.32812,8.16912,2.43512,,2.43512,9.32812,6.791496,,,
54:25.5,,5.2948,0,8.70104,0,0,,0,8.70104,2.799168,,,
54:26.5,,5.99752,9.38424,9.5038,9.48428,8.84744,,5.99752,9.5038,8.643456,,,
54:27.5,,0,0,0,0,0,,0,0,0,,,
54:28.5,,0,9.6136,4.42616,9.73316,9.74048,,0,9.74048,6.70268,,,
54:29.5,,4.4408,0,7.70552,0,0,,0,7.70552,2.429264,,,
54:30.5,,0,0,0,0,0,,0,0,0,,,
