Timestamp,,Sensor_Values1,,,,,,Min,Max,Mean,,Max Mean Value,Max max Value
49:24.4,,0,0,0,0,0,,0,0,0,,8.732272,9.71852
49:25.3,,5.46804,7.95196,9.66484,0,0,,0,9.66484,4.616968,,,
49:26.3,,4.72872,9.50868,9.699,7.76164,7.77384,,4.72872,9.699,7.894376,,,
49:27.3,,0,0,0,0,0,,0,0,0,,,
49:28.3,,6.04876,8.92308,9.33056,8.57416,7.97636,,6.04876,9.33056,8.170584,,,
49:29.3,,6.03412,5.67056,8.50584,8.18864,5.38508,,5.38508,8.50584,6.756848,,,
49:30.3,,0,0,0,0,0,,0,0,0,,,
49:31.4,,5.43144,4.82632,8.6254,0,0,,0,8.6254,3.776632,,,
49:32.4,,5.54124,7.91536,8.7474,7.82996,0,,0,8.7474,6.006792,,,
49:33.4,,6.13172,8.48632,8.75716,8.9792,7.04916,,6.13172,8.9792,7.880712,,,
49:34.4,,0,9.0524,0,8.65468,8.74984,,0,9.0524,5.291384,,,
49:35.4,,0,0,0,0,0,,0,0,0,,,
49:36.4,,5.46316,0,9.1866,0,0,,0,9.1866,2.929952,,,
49:37.4,,6.21224,9.1866,9.21588,9.31104,9.394,,6.21224,9.394,8.663952,,,
49:38.3,,5.78036,8.64248,8.52536,8.59856,7.33708,,5.78036,8.64248,7.776768,,,
49:39.4,,0,9.25004,9.33544,0,0,,0,9.33544,3.717096,,,
49:40.4,,0,0,0,0,0,,0,0,0,,,
49:41.4,,5.15084,9.05484,7.40784,8.94992,8.21304,,5.15084,9.05484,7.755296,,,
49:42.4,,6.22932,8.92064,7.6128,9.58432,9.45988,,6.22932,9.58432,8.361392,,,
49:43.4,,0,9.09388,0,4.04064,8.87672,,0,9.09388,4.402248,,,
49:44.4,,0,0,0,0,0,,0,0,0,,,
49:45.4,,5.85844,8.7474,8.35456,8.49364,6.55628,,5.85844,8.7474,7.602064,,,
49:46.3,,5.54368,5.41436,8.83768,0,0,,0,8.83768,3.959144,,,
49:47.4,,6.0878,9.48672,9.37204,9.4306,8.70104,,6.0878,9.48672,8.61564,,,
49:48.4,,0,8.54732,0,5.38508,7.60792,,0,8.54732,4.308064,,,
49:49.4,,0,0,0,0,0,,0,0,0,,,
49:50.4,,0,0,0,0,0,,0,0,0,,,
49:51.4,,5.43632,8.09104,7.84704,4.80192,0,,0,8.09104,5.235264,,,
49:52.4,,6.19028,9.20856,9.04752,9.12804,8.4058,,6.19028,9.20856,8.39604,,,
49:53.4,,5.58028,9.577,9.25492,9.3208,9.32568,,5.58028,9.577,8.611736,,,
49:54.4,,0,9.55016,0,6.1122,9.06704,,0,9.55016,4.94588,,,
49:55.4,,0,0,0,0,0,,0,0,0,,,
49:56.4,,5.5754,8.35456,7.22728,7.5396,1.42008,,1.42008,8.35456,6.023384,,,
49:57.4,,6.27812,9.14756,9.08168,9.13292,8.3448,,6.27812,9.14756,8.397016,,,
49:58.4,,5.73644,9.63312,9.211,9.4062,9.58432,,5.73644,9.63312,8.714216,,,
49:59.4,,0,9.48428,0,8.00564,7.70308,,0,9.48428,5.0386,,,
50:00.4,,0,0,0,0,0,,0,0,0,,,
50:01.4,,0,0,0,0,0,,0,0,0,,,
50:02.4,,5.49244,7.9178,7.06136,5.24356,0,,0,7.9178,5.143032,,,
50:03.4,,6.14148,9.06704,9.10852,8.65224,7.57376,,6.14148,9.10852,8.108608,,,
50:04.4,,5.58028,5.7706,8.54,0,0,,0,8.54,3.978176,,,
50:05.4,,6.14148,9.4672,9.5282,8.86208,8.1862,,6.14148,9.5282,8.437032,,,
50:06.4,,0,9.46232,9.20368,8.93772,8.43264,,0,9.46232,7.207272,,,
50:07.4,,0,9.53064,0,8.6254,8.43264,,0,9.53064,5.317736,,,
50:08.4,,0,0,0,0,8.5156,,0,8.5156,1.70312,,,
50:09.4,,0,0,0,0,0,,0,0,0,,,
50:10.4,,5.92676,8.58636,7.68844,8.70348,7.81532,,5.92676,8.70348,7.744072,,,
50:11.4,,6.29764,8.4058,7.92268,9.37448,9.09876,,6.29764,9.37448,8.219872,,,
50:12.4,,6.30984,8.77668,8.78644,9.51844,9.34032,,6.30984,9.51844,8.546344,,,
50:13.4,,0,8.16912,0,5.66324,7.67136,,0,8.16912,4.300744,,,
50:14.4,,0,0,0,0,1.05652,,0,1.05652,0.211304,,,
50:15.4,,0,0,0,0,0,,0,0,0,,,
50:16.4,,5.93408,8.07884,9.13292,7.21264,3.52336,,3.52336,9.13292,6.776368,,,
50:17.4,,6.09512,9.17196,8.99872,9.01092,9.2842,,6.09512,9.2842,8.512184,,,
50:18.4,,0,7.36148,0,0,0,,0,7.36148,1.472296,,,
50:19.4,,0,9.31836,0,0,7.40296,,0,9.31836,3.344264,,,
50:20.4,,0,0,0,0,0,,0,0,0,,,
50:21.4,,6.08536,8.23256,7.98368,8.0764,7.72992,,6.08536,8.23256,7.621584,,,
50:22.4,,6.20492,9.37204,9.5892,9.0646,9.24028,,6.20492,9.5892,8.694208,,,
50:23.4,,0,0,0,0,0,,0,0,0,,,
50:24.4,,0,2.34728,0,6.01704,6.92228,,0,6.92228,3.05732,,,
50:25.4,,5.22404,9.38912,9.53064,0,0,,0,9.53064,4.82876,,,
50:26.4,,0,8.78644,0,0,1.87392,,0,8.78644,2.132072,,,
50:27.4,,5.30212,6.71244,7.80312,0,0,,0,7.80312,3.963536,,,
50:28.4,,6.22932,9.31104,9.4062,8.86208,7.8202,,6.22932,9.4062,8.325768,,,
50:29.4,,0,9.69656,9.10852,9.43548,8.71324,,0,9.69656,7.39076,,,
50:30.4,,0,0,0,0,0,,0,0,0,,,
50:31.4,,5.34604,0,8.53024,0,0,,0,8.53024,2.775256,,,
50:32.4,,6.08536,9.4306,9.56236,8.63028,5.74376,,5.74376,9.56236,7.890472,,,
50:33.4,,0,9.69168,4.37004,9.36472,9.41596,,0,9.69168,6.56848,,,
50:34.4,,0,0,0,0,0,,0,0,0,,,
50:35.4,,5.46316,8.6498,9.2842,6.02436,0,,0,9.2842,5.884304,,,
50:36.4,,6.1244,9.51844,9.44524,9.32812,8.28136,,6.1244,9.51844,8.539512,,,
50:37.4,,0,9.17196,0,5.06544,7.31512,,0,9.17196,4.310504,,,
50:38.4,,0,0,0,0,0,,0,0,0,,,
50:39.4,,5.54612,0,9.211,0,0,,0,9.211,2.951424,,,
50:40.4,,6.283,9.25004,9.31104,8.784,8.26916,,6.283,9.31104,8.379448,,,
50:41.4,,5.93408,9.28664,9.32568,8.80596,2.44244,,2.44244,9.32568,7.15896,,,
50:42.4,,0,8.83524,0,0,8.2716,,0,8.83524,3.421368,,,
50:43.4,,0,0,0,0,0,,0,0,0,,,
50:44.4,,5.54612,8.96212,9.03288,8.5888,0,,0,9.03288,6.425984,,,
50:45.4,,5.97068,9.59408,9.42328,9.44768,9.10852,,5.97068,9.59408,8.708848,,,
50:46.4,,0,0,0,0,0,,0,0,0,,,
50:47.4,,0,0,0,0,0,,0,0,0,,,
50:48.4,,5.57784,8.59124,9.01824,7.68844,0,,0,9.01824,6.175152,,,
50:49.4,,6.19272,9.45744,9.42084,9.38912,8.479,,6.19272,9.45744,8.587824,,,
50:50.4,,5.62664,9.52332,9.01336,9.47208,8.85964,,5.62664,9.52332,8.499008,,,
50:51.4,,0,0,0,0,0,,0,0,0,,,
50:52.4,,0,0,0,0,0,,0,0,0,,,
50:53.4,,5.89748,9.17928,9.19392,8.845,3.04512,,3.04512,9.19392,7.23216,,,
50:54.4,,6.05852,9.61848,9.55504,9.36716,7.77872,,6.05852,9.61848,8.475584,,,
50:55.5,,0,9.5526,6.9662,9.28176,8.39848,,0,9.5526,6.839808,,,
50:56.4,,0,0,0,0,0,,0,0,0,,,
50:57.4,,5.36068,8.04224,7.48592,0,0,,0,8.04224,4.177768,,,
50:58.4,,6.2464,9.39888,9.22076,9.35008,8.6132,,6.2464,9.39888,8.565864,,,
50:59.4,,6.21712,9.51112,9.36472,9.4306,8.49608,,6.21712,9.51112,8.603928,,,
51:00.4,,0,9.2598,0,7.98856,7.75432,,0,9.2598,5.000536,,,
51:01.4,,0,0,0,0,0,,0,0,0,,,
51:02.4,,5.5266,8.86696,9.09388,8.1984,0,,0,9.09388,6.337168,,,
51:03.5,,6.04876,9.32324,9.3208,9.09388,4.4408,,4.4408,9.32324,7.645496,,,
51:04.5,,0,0,0,0,0,,0,0,0,,,
51:05.4,,0,0,0,0,0,,0,0,0,,,
51:06.4,,5.88772,9.12316,9.25492,8.64004,3.22568,,3.22568,9.25492,7.226304,,,
51:07.5,,6.19516,9.48672,9.29396,9.42816,7.66404,,6.19516,9.48672,8.413608,,,
51:08.4,,0,8.85232,0,0,8.31064,,0,8.85232,3.432592,,,
51:09.4,,0,0,0,0,0,,0,0,0,,,
51:10.4,,6.18296,9.48916,9.333,9.31836,8.20084,,6.18296,9.48916,8.504864,,,
51:11.5,,6.20492,9.36472,9.16464,9.46964,8.25696,,6.20492,9.46964,8.492176,,,
51:12.5,,0,2.85968,0,0,2.30824,,0,2.85968,1.033584,,,
51:13.4,,0,0,0,0,0,,0,0,0,,,
51:14.5,,5.87552,8.76936,9.37204,7.66648,3.5258,,3.5258,9.37204,7.04184,,,
51:15.5,,5.55588,9.17684,9.69168,0,0,,0,9.69168,4.88488,,,
51:16.4,,5.03616,9.4428,9.67948,0,0,,0,9.67948,4.831688,,,
51:17.5,,0,0,0,0,0,,0,0,0,,,
51:18.5,,5.4168,8.1008,9.16464,5.09472,0,,0,9.16464,5.555392,,,
51:19.5,,5.79744,9.43304,9.30616,8.57172,8.07396,,5.79744,9.43304,8.236464,,,
51:20.5,,0,8.55952,0,0,5.0508,,0,8.55952,2.722064,,,
51:21.5,,0,0,0,0,0,,0,0,0,,,
51:22.5,,5.8926,9.394,9.47452,8.91576,3.86252,,3.86252,9.47452,7.50788,,,
51:23.5,,0,9.6502,9.08656,9.35252,8.47168,,0,9.6502,7.312192,,,
51:24.5,,0,0,0,0,0,,0,0,0,,,
51:25.5,,5.18012,6.0512,5.1118,2.91824,0,,0,6.0512,3.852272,,,
51:26.5,,6.13172,9.48672,9.56236,9.1622,7.381,,6.13172,9.56236,8.3448,,,
51:27.5,,0,9.54528,2.29848,8.845,8.53268,,0,9.54528,5.844288,,,
51:28.5,,0,0,0,0,0,,0,0,0,,,
51:29.5,,5.18988,0,7.37856,0,0,,0,7.37856,2.513688,,,
