Timestamp,,Sensor_Values1,,,,,,Min,Max,Mean,,Max Mean Value,Max max Value
41:16.4,,6.12684,8.09348,8.93772,8.42532,8.96212,,6.12684,8.96212,8.109096,,8.26184,9.91616
41:17.4,,6.2586,5.33628,8.88892,8.03736,8.10324,,5.33628,8.88892,7.32488,,,
41:18.4,,0,0,0,0,0,,0,0,0,,,
41:19.4,,2.63764,0,0,0,0,,0,2.63764,0.527528,,,
41:20.4,,6.24884,3.66244,0,9.13048,9.54528,,0,9.54528,5.717408,,,
41:21.4,,5.09472,8.12764,8.052,8.20328,8.98408,,5.09472,8.98408,7.692344,,,
41:22.4,,0,0,0,0,0,,0,0,0,,,
41:23.4,,6.12684,0,5.30212,6.98084,9.44036,,0,9.44036,5.570032,,,
41:24.4,,6.22444,6.43428,6.07804,9.27444,9.70388,,6.07804,9.70388,7.543016,,,
41:25.4,,0,0,0,0,9.15488,,0,9.15488,1.830976,,,
41:26.4,,0,0,0,0,0,,0,0,0,,,
41:27.5,,5.97556,5.61932,8.18864,9.02312,9.71852,,5.61932,9.71852,7.705032,,,
41:28.4,,6.35376,4.6848,8.58636,9.0524,9.6746,,4.6848,9.6746,7.670384,,,
41:29.5,,0,0,0,0,0,,0,0,0,,,
41:30.4,,0,0,0,0,0,,0,0,0,,,
41:31.4,,6.11464,3.10856,8.42288,8.38872,9.70632,,3.10856,9.70632,7.148224,,,
41:32.4,,6.33424,4.05772,0,9.36228,9.8576,,0,9.8576,5.922368,,,
41:33.4,,0,0,0,8.74496,9.7844,,0,9.7844,3.705872,,,
41:34.4,,0,0,0,0,0,,0,0,0,,,
41:35.4,,5.70228,0.03904,6.61728,7.31024,9.09388,,0.03904,9.09388,5.752544,,,
41:36.4,,6.33912,3.09148,8.50096,8.94992,9.44768,,3.09148,9.44768,7.265832,,,
41:37.4,,4.56524,8.85476,9.36716,9.01092,9.51112,,4.56524,9.51112,8.26184,,,
41:38.4,,0,8.34968,0,9.21344,9.82344,,0,9.82344,5.477312,,,
41:39.4,,0,0,0,0,0,,0,0,0,,,
41:40.4,,5.96824,0,6.1488,0,8.06908,,0,8.06908,4.037224,,,
41:41.4,,6.25616,5.57784,8.2838,9.09632,9.69412,,5.57784,9.69412,7.781648,,,
41:42.4,,0,3.92596,0,9.2232,9.7722,,0,9.7722,4.584272,,,
41:43.4,,0,0,0,0,0,,0,0,0,,,
41:44.4,,5.87552,0,7.9666,0,7.61036,,0,7.9666,4.290496,,,
41:45.4,,6.2708,0,0,8.5644,9.56236,,0,9.56236,4.879512,,,
41:46.4,,0,0,0,7.92268,9.71852,,0,9.71852,3.52824,,,
41:47.4,,0,0,0,0,0,,0,0,0,,,
41:48.4,,5.6364,0,9.09388,0,1.67872,,0,9.09388,3.2818,,,
41:49.4,,6.15856,4.95564,9.1866,7.21264,9.11828,,4.95564,9.1866,7.326344,,,
41:50.5,,0,0,0,0,0,,0,0,0,,,
41:51.4,,5.71204,0,7.5884,0,8.2106,,0,8.2106,4.302208,,,
41:52.4,,6.28544,0,9.14756,8.15692,9.25004,,0,9.25004,6.567992,,,
41:53.5,,0,0,0,8.87184,9.71364,,0,9.71364,3.717096,,,
41:54.4,,0,0,0,0,0,,0,0,0,,,
41:55.4,,0,0,0,0,0,,0,0,0,,,
41:56.5,,6.18052,0,8.70592,0,7.78848,,0,8.70592,4.534984,,,
41:57.5,,6.01216,5.71448,7.88364,8.7108,9.71852,,5.71448,9.71852,7.60792,,,
