Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
2024-01-29 12:18:34.372,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.22204, 2.98412, 0.43432, 3.7112399999999997, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.30744, 9.9918, 2.06668, 0.53436]"
2024-01-29 12:18:35.360,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.95404, 1.00772, 1.21024, 2.04716]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.44204, 3.1012399999999998, 0.56852, 9.9918]"
2024-01-29 12:18:36.348,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-01-29 12:18:37.355,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.38308, 1.43472, 0.32452, 3.01584, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.20984, 9.9918, 1.0004, 6.8198]"
2024-01-29 12:18:38.350,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.07928, 9.9918, 3.6721999999999997, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 0.98332, 9.9918]"
2024-01-29 12:18:39.352,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-01-29 12:18:40.377,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.1834, 0.6807599999999999, 0.28059999999999996, 2.1520799999999998, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.2196, 2.55468, 0.75396, 9.9918]"
2024-01-29 12:18:41.382,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-01-29 12:18:42.362,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.27327999999999997, 9.9918, 0.8979199999999999, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.57584, 9.9918, 2.1911199999999997, 0.5441199999999999]"
2024-01-29 12:18:43.369,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.65188, 0.81984, 0.44408, 0.81984, 1.5908799999999998]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.71736, 9.9918, 1.03944, 9.9918]"
