Sensor_Labels,Sensor_Values
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[15, 618, 218, 1056, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[108, 316, 259, 353, 1751]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[21, 1340, 274, 1012, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[11, 478, 149, 687, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 47, 1187, 80, 310]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[37, 337, 208, 464, 3506]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2543, 123, 215, 185, 732]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[195, 165, 111, 617, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[618, 144, 205, 235, 1360]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 112, 354, 141, 300]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[229, 4095, 656, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0, 405, 114, 1901, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[441, 207, 322, 273, 700]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 101, 251, 292, 1263]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[33, 4095, 347, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[16, 407, 225, 979, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[90, 309, 269, 357, 1119]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 193, 590, 291, 754]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[431, 4095, 1168, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[16, 431, 332, 537, 2137]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 66, 241, 110, 485]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 69, 704, 82, 303]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[158, 911, 656, 3002, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 188, 4095, 241, 755]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[25, 342, 199, 705, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[12, 396, 240, 712, 4095]"
