Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
2024-02-26 10:10:50.700,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 7.92268, 0.0, 5.0752, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 7.11992, 3.98452, 7.68844, 8.19352]"
2024-02-26 10:10:51.680,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.422079999999999, 0.0, 9.79904, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:10:52.695,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.82916, 7.98368, 7.329759999999999, 8.31308, 0.0]"
2024-02-26 10:10:53.689,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.61728, 8.937719999999999, 9.92104, 7.54936, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:10:54.694,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.5148, 7.82752, 3.6917199999999997, 5.12644, 8.766919999999999]"
2024-02-26 10:10:55.687,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.51968, 8.57172, 9.90884, 6.99792, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:10:56.702,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 7.64208, 0.0, 4.95808, 8.52292]"
2024-02-26 10:10:57.696,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.67096, 0.0, 9.75512, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:10:58.701,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 7.72016, 5.92432, 5.407039999999999, 8.43264]"
2024-02-26 10:10:59.706,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.50016, 9.46232, 9.95032, 9.29396, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:00.687,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 7.65916, 7.427359999999999, 5.367999999999999, 0.0]"
2024-02-26 10:11:01.692,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.62948, 9.3818, 9.96008, 9.15488, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:02.713,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[7.2199599999999995, 7.1809199999999995, 6.71244, 4.9532, 0.0]"
2024-02-26 10:11:03.699,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.395239999999999, 9.59896, 9.9918, 9.17928, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:04.708,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[7.2077599999999995, 7.63476, 7.80312, 4.87756, 0.0]"
2024-02-26 10:11:05.695,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.65632, 0.0, 9.98936, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:06.716,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[7.7836, 7.61524, 7.305359999999999, 4.3309999999999995, 0.0]"
2024-02-26 10:11:07.704,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.67828, 9.4062, 9.97472, 8.827919999999999, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:08.717,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.2728399999999995, 7.68844, 7.07844, 4.79216, 0.0]"
2024-02-26 10:11:09.712,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.65876, 9.27688, 9.9918, 8.37652, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:10.723,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[7.466399999999999, 7.346839999999999, 6.98328, 7.8446, 0.0]"
2024-02-26 10:11:11.715,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.6612, 9.43792, 9.97716, 8.810839999999999, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:12.712,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[7.8324, 7.298039999999999, 6.60752, 4.7824, 0.0]"
2024-02-26 10:11:13.721,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.54896, 9.52332, 9.9918, 8.788879999999999, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:14.712,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[8.48144, 7.0394, 6.402559999999999, 4.17484, 7.78848]"
2024-02-26 10:11:15.744,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.2976399999999995, 9.67948, 9.97228, 9.34276, 1.9886]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 7.334639999999999]"
2024-02-26 10:11:16.746,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 7.2663199999999994, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[7.339519999999999, 1.62504, 0.9320799999999999, 0.0, 2.1691599999999998]"
2024-02-26 10:11:17.753,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.322039999999999, 9.26468, 9.92104, 8.31064, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 6.93204, 4.95564, 7.72992, 8.4424]"
2024-02-26 10:11:18.734,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 8.19108, 9.65264, 8.698599999999999, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 6.59044, 6.64168, 6.161, 0.0]"
2024-02-26 10:11:19.732,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.638, 9.31104, 8.993839999999999, 8.12032]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 8.22768, 0.0, 8.703479999999999, 0.0]"
2024-02-26 10:11:20.725,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.57092, 7.1784799999999995, 9.83076, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:21.734,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 6.91984, 0.0, 8.4302, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.53188, 7.85192, 1.46644, 8.27648, 8.783999999999999]"
2024-02-26 10:11:22.727,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.65632, 7.2077599999999995, 9.80148, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:23.720,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.07436, 7.14432, 8.19352, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4.79948, 8.03248, 6.00972, 8.681519999999999, 0.0]"
2024-02-26 10:11:24.726,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.82224, 8.33016, 9.9186, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:25.735,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[7.14432, 8.07152, 6.97108, 8.54488, 0.0]"
2024-02-26 10:11:26.745,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.75148, 9.32812, 9.95276, 9.1012, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]"
2024-02-26 10:11:27.724,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[7.92268, 7.451759999999999, 6.6978, 7.79092, 0.0]"
