Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
2024-02-22 13:28:55.172,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:28:56.178,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.11464, 8.31308, 9.60384, 8.25696, 8.24232]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 7.366359999999999]"
2024-02-22 13:28:57.180,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.53308, 3.41112, 8.886479999999999, 8.815719999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.1793199999999997, 2.98412, 4.7458, 1.6128399999999998]"
2024-02-22 13:28:58.178,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.002, 0.0, 8.15692, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:28:59.181,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.68032, 9.58676, 9.55748, 9.28908, 9.2476]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.1622399999999997, 3.08416, 4.77996, 1.2932]"
2024-02-22 13:29:00.177,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:29:01.178,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.98288, 8.891359999999999, 9.63556, 8.727879999999999, 5.9292]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.05976, 4.00648, 4.55792, 1.14924]"
2024-02-22 13:29:02.192,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:29:03.179,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.96824, 8.942599999999999, 9.56236, 8.727879999999999, 6.832]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.88164, 9.9918, 2.31068, 1.5786799999999999]"
2024-02-22 13:29:04.175,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.22076, 0.0, 8.844999999999999, 8.635159999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[3.5014, 4.73848, 5.85112, 6.363519999999999, 4.16508]"
