Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
42:39.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 0.35136, 3.7380799999999996]"
42:40.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.13216, 1.0614, 1.3908, 8.581479999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 0.1586]"
42:41.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 0.5124, 0.27327999999999997]"
42:42.5,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.21024, 1.03944, 1.97884, 6.16588]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
42:43.5,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.27083999999999997, 9.9918, 0.69784, 0.02928]"
42:44.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.4148, 0.27327999999999997, 0.75884, 7.70552]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
42:45.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.15128, 9.9918, 0.97844, 0.0]"
42:46.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.3273599999999999, 1.05652, 1.6177199999999998, 4.489599999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
42:47.5,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 1.30296, 0.0]"
42:48.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.3224799999999999, 1.13216, 1.39812, 1.9642]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
42:49.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 7.307799999999999, 0.43432, 0.36112]"
42:50.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.23708, 1.12972, 1.28344, 1.54452]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
42:51.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 0.5441199999999999, 0.20007999999999998]"
42:52.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.2932, 1.07116, 1.73484, 3.27692]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.41596, 9.9918]"
42:53.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.1586, 9.9918, 1.28832, 0.0]"
42:54.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.49816, 1.05408, 1.92516, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.66972, 9.9918]"
42:55.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 1.708, 0.0]"
42:56.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.02764, 1.3663999999999998, 3.55264, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 7.86412, 9.9918]"
42:57.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.3590799999999998, 1.00528, 2.1106, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.42944, 9.9918, 1.8007199999999999, 0.00244]"
42:58.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 0.74176, 0.09272]"
42:59.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.13704, 0.85156, 2.1740399999999998, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
43:00.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 1.0760399999999999, 0.0]"
43:01.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.87636, 1.14436, 5.49732, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 7.66892, 9.9918]"
43:02.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.5908799999999998, 1.3688399999999998, 2.05936, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 5.83648, 0.976, 0.0]"
43:03.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 7.454199999999999, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 0.7198, 9.9918]"
43:04.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.48352, 1.21024, 1.5859999999999999, 3.3184]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 7.03208, 0.16835999999999998]"
43:05.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.07076, 9.9918, 0.7564, 0.03904]"
43:06.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.3127199999999999, 1.23708, 1.3688399999999998, 1.4518]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
43:07.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.08784, 9.9918, 1.0931199999999999, 0.0]"
43:08.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.7812, 1.29564, 2.1764799999999997, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 7.454199999999999, 9.9918]"
43:09.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.8665999999999998, 1.6055199999999998, 2.06912, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.17324, 4.77752, 1.12728, 0.0]"
43:10.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.07196, 1.5493999999999999, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 7.1955599999999995, 9.9918]"
43:11.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.3395599999999999, 1.21024, 1.9276, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 0.46603999999999995]"
43:12.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.08295999999999999, 3.6477999999999997, 0.93696, 0.00244]"
43:13.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.50548, 1.18096, 2.12036, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 8.31552, 9.9918]"
43:14.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 1.29808, 0.0]"
43:15.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 2.49368, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 2.83772, 9.9918]"
43:16.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.3346799999999999, 1.2078, 1.8788, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 7.349279999999999, 0.17812]"
43:17.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 0.02196, 9.9918, 0.6636799999999999, 0.11712]"
43:18.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.40788, 1.21756, 2.04716, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.91372, 9.9918]"
43:19.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 7.84704, 0.69296, 0.11712]"
43:20.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.49328, 1.16144, 3.02804, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.61116, 9.9918]"
43:21.6,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 4.56036, 4.08944, 9.9918, 9.9918]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 2.5376, 0.0]"
