Timestamp,Left_Sensor1,Left_Sensor2,Left_Sensor3,Left_Sensor4,Left_Sensor5
2024-02-19 10:23:42,820,2608,2609,2605,2595
2024-02-19 10:23:42,713,2595,2609,2609,2612
2024-02-19 10:23:43,699,2608,2599,2615,2613
2024-02-19 10:23:44,701,2595,2587,2606,2598
2024-02-19 10:23:45,671,2609,2608,2607,2598
2024-02-19 10:23:46,667,2608,2608,2607,2601
2024-02-19 10:23:47,665,2619,2603,2603,2613
2024-02-19 10:23:48,638,2639,2613,2606,2605
2024-02-19 10:23:49,624,2599,2613,2607,2613
2024-02-19 10:23:50,627,2614,2608,2597,2611
2024-02-19 10:23:51,635,2610,2608,2608,2610
2024-02-19 10:23:52,624,2626,2614,2608,2608
2024-02-19 10:23:53,605,2619,2610,2607,2615
2024-02-19 10:23:54,620,2614,2638,2619,2608
2024-02-19 10:23:55,637,2609,2608,2611,2611
2024-02-19 10:23:56,627,2595,2605,2627,2621
2024-02-19 10:23:57,615,2608,2608,2608,2609
2024-02-19 10:23:58,577,2599,2605,2607,2613
2024-02-19 10:23:59,547,2611,2595,2603,2613
2024-02-19 10:24:00,510,2608,2603,2621,2614
2024-02-19 10:24:01,465,2617,2615,2615,2613
2024-02-19 10:24:02,483,2609,2612,2611,2609
2024-02-19 10:24:03,437,2609,2617,2604,2608
2024-02-19 10:24:04,434,2615,2608,2608,2609
2024-02-19 10:24:05,492,2620,2607,2636,2611
2024-02-19 10:24:06,457,2621,2609,2611,2615
2024-02-19 10:24:07,439,2613,2624,2611,2599
2024-02-19 10:24:08,453,2608,2612,2613,2609
2024-02-19 10:24:09,449,2608,2668,2638,2608
2024-02-19 10:24:10,446,2605,2625,2609,2609
2024-02-19 10:24:11,438,2621,2618,2615,2611
2024-02-19 10:24:12,441,2611,2627,2619,2616
2024-02-19 10:24:13,446,2618,2610,2614,2622
2024-02-19 10:24:14,314,2608,2611,2622,464
2024-02-19 10:24:15,335,2611,2619,2618,560
2024-02-19 10:24:16,304,2622,2611,2609,592
2024-02-19 10:24:17,328,2614,2608,2610,553
2024-02-19 10:24:18,270,2612,2619,2608,144
2024-02-19 10:24:19,413,2608,2625,2608,2631
2024-02-19 10:24:20,435,2615,2610,2610,2608
2024-02-19 10:24:21,432,2613,2630,2608,2608
2024-02-19 10:24:22,459,2610,2613,2617,2608
2024-02-19 10:24:23,451,2595,2611,2615,2615
2024-02-19 10:24:24,432,2622,2611,2616,2612
2024-02-19 10:24:25,449,2637,2585,2583,2623
2024-02-19 10:24:26,432,2607,2614,2618,2601
2024-02-19 10:24:27,453,2618,2598,2611,2692
2024-02-19 10:24:28,510,2613,2607,2609,2614
2024-02-19 10:24:29,484,2608,2615,2605,2608
2024-02-19 10:24:30,428,2625,2608,2615,2608
2024-02-19 10:24:31,429,2615,2611,2627,2608
2024-02-19 10:24:32,459,2639,2615,2621,2617
2024-02-19 10:24:33,431,2617,2618,2610,2609
2024-02-19 10:24:34,432,2634,2627,2620,2603
2024-02-19 10:24:35,438,2615,2618,2620,2613
2024-02-19 10:24:36,450,2608,2622,2602,2614
2024-02-19 10:24:37,479,2613,2614,2613,2615
2024-02-19 10:24:38,455,2610,2617,2583,2630
2024-02-19 10:24:39,418,2610,2605,2621,2608
2024-02-19 10:24:40,407,2656,2623,2593,2631
2024-02-19 10:24:41,420,2628,2608,2609,2624
